datetime,ticker,open,high,low,close,volume
2015-12-07 13:52:00,AFLT,57.33,57.33,57.29,57.29,4000
2015-12-07 13:53:00,AFLT,57.29,57.29,57.29,57.29,0
2015-12-07 13:54:00,AFLT,57.31,57.31,57.27,57.29,47600
2015-12-07 13:55:00,AFLT,57.25,57.29,57.25,57.29,300
2015-12-07 13:56:00,AFLT,57.25,57.41,57.21,57.41,12400
2015-12-07 13:57:00,AFLT,57.4,57.43,57.35,57.42,19800
2015-12-07 13:58:00,AFLT,57.42,57.42,57.42,57.42,0
2015-12-07 13:59:00,AFLT,57.42,57.42,57.42,57.42,0
2015-12-07 14:00:00,AFLT,57.4,57.4,57.4,57.4,2100
2015-12-07 14:01:00,AFLT,57.4,57.4,57.38,57.4,3400
2015-12-07 14:02:00,AFLT,57.43,57.43,57.37,57.37,3800
2015-12-07 14:03:00,AFLT,57.37,57.37,57.37,57.37,0
2015-12-07 14:04:00,AFLT,57.37,57.37,57.37,57.37,0
2015-12-07 14:05:00,AFLT,57.41,57.41,57.3,57.4,18100
2015-12-07 14:06:00,AFLT,57.41,57.54,57.41,57.45,7000
2015-12-07 14:07:00,AFLT,57.45,57.45,57.39,57.39,2200
2015-12-07 14:08:00,AFLT,57.45,57.45,57.41,57.41,3400
2015-12-07 14:09:00,AFLT,57.41,57.41,57.41,57.41,2000
2015-12-07 14:10:00,AFLT,57.45,57.45,57.41,57.41,6200
2015-12-07 14:11:00,AFLT,57.45,57.45,57.41,57.45,4900
2015-12-07 14:12:00,AFLT,57.47,58.1,57.45,57.64,215500
2015-12-07 14:13:00,AFLT,57.6,57.68,57.6,57.65,24800
2015-12-07 14:14:00,AFLT,57.62,57.62,57.55,57.59,13200
2015-12-07 14:15:00,AFLT,57.58,57.87,57.58,57.72,41400
2015-12-07 14:16:00,AFLT,57.72,58.3,57.72,57.86,111200
2015-12-07 14:17:00,AFLT,57.87,57.88,57.33,57.69,41400
2015-12-07 14:18:00,AFLT,57.78,57.88,57.78,57.78,28600
2015-12-07 14:19:00,AFLT,57.84,57.98,57.6,57.88,25300
2015-12-07 14:20:00,AFLT,57.88,57.88,57.49,57.74,13600
2015-12-07 14:21:00,AFLT,57.83,57.83,57.49,57.49,6800
2015-12-07 14:22:00,AFLT,57.79,57.83,57.73,57.83,1400
2015-12-07 14:23:00,AFLT,57.83,57.88,57.8,57.8,6000
2015-12-07 14:24:00,AFLT,57.84,57.84,57.8,57.84,5000
2015-12-07 14:25:00,AFLT,57.85,57.86,57.5,57.5,9200
2015-12-07 14:26:00,AFLT,57.8,57.8,57.5,57.5,1400
2015-12-07 14:27:00,AFLT,57.8,57.81,57.76,57.76,23700
2015-12-07 14:28:00,AFLT,57.82,57.84,57.3,57.78,9400
2015-12-07 14:29:00,AFLT,57.83,57.85,57.8,57.85,34400
2015-12-07 14:30:00,AFLT,57.84,57.84,57.84,57.84,500
